Level 0 preferred term,Level 1 preferred term,Level 2 preferred term,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
skills,working with computers,working with computers,working with computers,"Using computers and other digital tools to develop, install and maintain ICT software and infrastructure and to browse, search, filter, organise, store, retrieve, and analyse data, to collaborate and communicate with others, to create and edit new content.","Excludes:
- Systems analysis
- Installing, maintaining and repairing computer hardware",S,S5,S5.0,S5.0.0
skills,constructing,,,"Building, repairing, installing and finishing interior and exterior structures.",,S,S7,,
skills,constructing,building and repairing structures,,"Forming, shaping and joining materials to form structures such as buildings, bridges, or underground mines according to specifications and plans.",,S,S7,S7.1,
skills,constructing,building and repairing structures,installing wooden structural components,"Installing, assembling and repairing structural timber such as beams and trusses.","Examples:
- Assemble truss constructions",S,S7,S7.1,S7.1.3
skills,constructing,building and repairing structures,"joining parts using soldering, welding or brazing techniques","Joining together pieces of metal by applying heat using soldering, welding or brazing techniques.","Examples:
- Apply arc welding techniques
- Operate brazing equipment
- Weld underwater
- Solder components onto electronic board",S,S7,S7.1,S7.1.6
skills,constructing,building and repairing structures,building and repairing structures,"Forming, shaping and joining materials to form structures such as buildings, bridges, or underground mines according to specifications and plans.",,S,S7,S7.1,S7.1.0
skills,constructing,building and repairing structures,installing and assembling building fixtures,"Installing, assembling or constructing building fixtures such as drywall, doors, windows and staircases.","Examples:
- Install handrail
- Place drywall
- Install drop ceilings",S,S7,S7.1,S7.1.7
skills,constructing,building and repairing structures,installing roofing,"Constructing, installing and maintaining roofs and gutters.","Examples:
- Install metal roofing
- Install gutters
- Attach roofing cover",S,S7,S7.1,S7.1.5
skills,constructing,building and repairing structures,installing wooden and metal components,"Installing, assembling and repairing structural timber or metal parts.","Examples:
- Assemble truss constructions
- Reinforce concrete

Excludes:
- Installing metal roofing",S,S7,S7.1,S7.1.2
skills,constructing,building and repairing structures,installing and assembling rigging equipment,"Installing and assembling rigging equipment such as cables, ropes, pulleys and winches to safely secure high structures or lift heavy weights.","Examples:
- Install crane equipment
- Assemble circus rigging equipment
- Hang chain hoists",S,S7,S7.1,S7.1.8
skills,constructing,building and repairing structures,installing structural masonry materials,"Forming structures using masonry materials such as bricks, stone, blocks, and mortar.","Excludes:
- Pouring concrete
- Installing roofing

Examples:
- Lay bricks
- Place gypsum blocks",S,S7,S7.1,S7.1.1
skills,constructing,building and repairing structures,installing concrete components,"Setting concrete forms and pouring concrete for construction of footings, pilings, pillars and walls for buildings, bridges and other structures.","Examples:
- Pour concrete
- Place concrete forms
- Settle concrete",S,S7,S7.1,S7.1.4
skills,constructing,constructing,,"Building, repairing, installing and finishing interior and exterior structures.",,S,S7,S7.0,
skills,constructing,constructing,constructing,"Building, repairing, installing and finishing interior and exterior structures.",,S,S7,S7.0,S7.0.0
skills,constructing,installing interior or exterior infrastructure,,"Installing, repairing and testing systems and their components in buildings and other structures such as trains and aircraft.","Excludes:
- Installing electrical, electronic and telecommunications equipment and wiring",S,S7,S7.2,
skills,constructing,installing interior or exterior infrastructure,installing insulation materials,Installing materials to insulate a structure from thermic or acoustic influences and to prevent fire.,"Examples:
- Apply spray foam insulation
- Install insulation blocks",S,S7,S7.2,S7.2.3
skills,constructing,installing interior or exterior infrastructure,installing interior or exterior infrastructure,"Installing, repairing and testing systems and their components in buildings and other structures such as trains and aircraft.","Excludes:
- Installing electrical, electronic and telecommunications equipment and wiring",S,S7,S7.2,S7.2.0
skills,constructing,installing interior or exterior infrastructure,installing plumbing or piping equipment or systems,Installing plumbing or piping equipment or systems.,"Examples:
- Install fire sprinklers
- Install metal gas piping
- Repair plumbing systems",S,S7,S7.2,S7.2.2
skills,constructing,installing interior or exterior infrastructure,"installing heating, ventilation and air conditioning equipment","Installing and repairing heating, ventilation and air conditioning equipment.","Examples:
- Install heat pump
- Repair ventilation equipment
- Install heating, ventilation, air conditioning and refrigeration ducts",S,S7,S7.2,S7.2.1
skills,constructing,finishing interior or exterior of structures,,Applying interior and exterior finishes to buildings and other structures.,,S,S7,S7.3,
skills,constructing,finishing interior or exterior of structures,applying protective or decorative solutions or coatings,"Applying paint, lacquer, wallpaper or other coatings to surfaces or objects using brushes, rollers, paint spray guns or similar equipment.","Examples:
- Paint surfaces 
- Hang wallpaper",S,S7,S7.3,S7.3.3
skills,constructing,finishing interior or exterior of structures,finishing interior or exterior of structures,Applying interior and exterior finishes to buildings and other structures.,,S,S7,S7.3,S7.3.0
skills,constructing,finishing interior or exterior of structures,installing floor and wall coverings,"Installing various types of floor and wall coverings, including tiling, carpets, linoleum and parquet.","Examples:
- Lay marquetry
- Lay resilient flooring tiles",S,S7,S7.3,S7.3.4
skills,constructing,finishing interior or exterior of structures,applying material to fill gaps in surfaces,"Applying various types of material to fill or seal gaps in the surfaces of walls, floors, furnishings vehicles or other items.","Examples:
- Fill nail holes in wood planks
- Install insulation blocks
- Grout terrazzo",S,S7,S7.3,S7.3.1
skills,constructing,finishing interior or exterior of structures,appyling textured or masonry coatings,Applying plaster or similar materials to a surface.,"Examples:
- Plaster surfaces
- Craft ornamental plastering
- Pour terrazzo",S,S7,S7.3,S7.3.2
skills,management skills,,,"Managing people, activities, resources, and organisation; developing objectives and strategies, organising work activities, allocating and controlling resources and leading, motivating, recruiting and supervising people and teams.",,S,S4,,
skills,management skills,working in teams and collaboration,,"Encouraging team members and building a relationship of mutual trust, respect and cooperation. Stimulating teambuilding activities.","Excludes:
- Training
- Recruiting and hiring

Examples:
- Facilitate teamwork between students
- Encourage teambuilding",S,S4,S4.6,
skills,management skills,working in teams and collaboration,building and developing teams,"Encouraging team members and building a relationship of mutual trust, respect and cooperation. Stimulating teambuilding activities.","Excludes:
- Training
- Recruiting and hiring

Examples:
- Facilitate teamwork between students
- Encourage teambuilding",S,S4,S4.6,S4.6.0
skills,management skills,"organising, planning and scheduling work and activities",,"Directing activities and tasks, establishing schedules and co-ordinating the activities of groups and individuals to complete objectives on time and within budget.",,S,S4,S4.2,
skills,management skills,"organising, planning and scheduling work and activities","organising, planning and scheduling work and activities","Directing activities and tasks, establishing schedules and co-ordinating the activities of groups and individuals to complete objectives on time and within budget.",,S,S4,S4.2,S4.2.0
skills,management skills,"organising, planning and scheduling work and activities","directing, supervising and coordinating projects","Directing, supervising and coordinating workflow of projects and programmes such as research and development projects.","Examples:
- manage ICT project 
- supervise advocacy work

Excludes:
- supervise site maintenance
- translate strategy into operation",S,S4,S4.2,S4.2.3
skills,management skills,"organising, planning and scheduling work and activities",directing operational activities,"Directing, supervising and coordinating operational activities, projects and tasks in an organisation.","Examples:
- coordinate rescue missions
- coordinate operational activities
- oversee pre-assembly operations

Excludes:
- coordinate dock operations
- forecast workload
- manage ICT project",S,S4,S4.2,S4.2.1
skills,management skills,"organising, planning and scheduling work and activities",planning events and programmes,"Planning workflow and content for projects, events or programmes.","Examples:
- control financial resources
- manage revenue
- handle external financing",S,S4,S4.2,S4.2.2
skills,management skills,"organising, planning and scheduling work and activities",managing transport and logistics activities,"Planning, overseeing and directing logistics or other operational activities related to transport of goods or passengers. ",,S,S4,S4.2,S4.2.4
skills,management skills,"organising, planning and scheduling work and activities",planning production processes,Preparing production plan for successful manufacture of a product or service.,,S,S4,S4.2,S4.2.5
skills,management skills,developing objectives and strategies,,"Envisioning a future state and developing strategies, goals, objectives and action plans to achieve it.",,S,S4,S4.1,
skills,management skills,developing objectives and strategies,developing contingency and emergency response plans,"Composing and maintaining procedures outlining specific actions to be taken in the event of an emergency or adverse event, taking into account all the risks and dangers that could be involved, ensuring that the plans comply with safety legislation and represent the safest course of action.","Examples:
- manage disaster recovery plans
- plan railway incident mitigation measures",S,S4,S4.1,S4.1.7
skills,management skills,developing objectives and strategies,"developing financial, business or marketing plans","Envision and develop strategies and plans for companies and organisations aimed at purposes such as establishing new markets, refurbishing the equipment and machinery of a company, implementing pricing strategies, and restoring or maintaining financial viability.","Examples:
- Develop business case
- Draw up marketing and sales plan
- Create a financial plan",S,S4,S4.1,S4.1.2
skills,management skills,developing objectives and strategies,developing objectives and strategies,"Envisioning a future state and developing strategies, goals, objectives and action plans to achieve it.",,S,S4,S4.1,S4.1.0
skills,management skills,developing objectives and strategies,developing educational programmes,"Developing education and training programs, plans, or procedures for society in general, specific groups or tailored to an individual's learning needs.","Examples:
- develop curriculum
- construct individual learning plans
- develop training programmes",S,S4,S4.1,S4.1.6
skills,management skills,developing objectives and strategies,developing policies and legislation,Developing national or international policies and legislation to regulate conduct or set minimum standards in specific sectors and regulatory areas.,"Examples:
- develop environmental policy
- plan public housing

Excludes: 
- develop working procedures",S,S4,S4.1,S4.1.4
skills,management skills,developing objectives and strategies,developing operational policies and procedures,"Developing organisational and operational methods, policies, procedures or standards on company level to ensure streamlining of its operational processes.","Examples:
- define organisational standards
- establish an ICT customer support process

Excludes: 
- define geographic sales areas
- develop business case 
- develop environmental policy",S,S4,S4.1,S4.1.3
skills,management skills,developing objectives and strategies,identifying opportunities,Identifying business or organizational opportunities.,"Examples:
- identify market niches
- identify new business opportunities
- identify process improvements",S,S4,S4.1,S4.1.1
skills,management skills,developing objectives and strategies,developing health programmes,Developing plans for the promotion and protection of public and community health and the provision of health services.,"Examples:
- develop advanced health promotion strategies
- promote sport activities in public health",S,S4,S4.1,S4.1.5
skills,management skills,recruiting and hiring,,Acquiring the right talent to achieve the organization's mission.,"Excludes:
- Interviewing candidates

Examples:
- Recruit employees
- Carry out auditions",S,S4,S4.7,
skills,management skills,recruiting and hiring,recruiting and hiring,Acquiring the right talent to achieve the organization's mission.,"Examples:
- recruit employees
- carry out auditions

Excludes:
- interview candidates",S,S4,S4.7,S4.7.0
skills,management skills,supervising people,,Assigning responsibilities to others and directing and monitoring their performance.,"Excludes:
- Define roles of team members
- Supervise children",S,S4,S4.8,
skills,management skills,supervising people,supervising a team or group,"Managing, leading or supervising the activities a team or group of workers or students.","Examples:
- lead a team
- manage sales teams
- supervise crew

Excludes:
- supervise children",S,S4,S4.8,S4.8.1
skills,management skills,supervising people,assigning work to others,Assigning specific tasks to workers or students.,"Examples:
- assign duties to employees
- assign class work to students
- delegate tasks",S,S4,S4.8,S4.8.2
skills,management skills,supervising people,monitoring and evaluating the performance of individuals,"Monitoring the behaviour or performance of workers, students or oneself to ensure that work is completed satisfactorily and to evaluate performance, capabilities and training needs.","Examples:
- monitor the quality of work 
- perform classroom management
- evaluate employees work
- perform self-assessment

Excludes:
- supervise children",S,S4,S4.8,S4.8.3
skills,management skills,supervising people,supervising people,Assigning responsibilities to others and directing and monitoring their performance.,"Excludes:
- Define roles of team members
- Supervise children",S,S4,S4.8,S4.8.0
skills,management skills,allocating and controlling resources,,"Determining the distribution and availability of people, assets, materials or capital to accomplish organizational goals and putting in place financial and administrative controls.","Excludes:
- Delegate activities",S,S4,S4.3,
skills,management skills,allocating and controlling resources,managing budgets or finances,Determining the distribution and availability financial assets and putting in place financial and administrative controls.,"Examples:
- Control financial resources
- Manage revenue
- Handle external financing",S,S4,S4.3,S4.3.1
skills,management skills,allocating and controlling resources,managing and administering human resources,Performing administrative and clerical tasks concerned with human resource administration. Determining the distribution and availability of people to accomplish organizational goals.,"Examples:
- manage personnel
- plan shifts of employees

Excludes:
- delegate activities",S,S4,S4.3,S4.3.2
skills,management skills,allocating and controlling resources,allocating and controlling resources,"Determining the distribution and availability of people, assets, materials or capital to accomplish organizational goals and putting in place financial and administrative controls.","Excludes:
- Delegate activities",S,S4,S4.3,S4.3.0
skills,management skills,allocating and controlling resources,allocating and controlling physical resources,Determining and controlling the distribution and availability of physical assets such as tools and equipment.,"Examples:
- manage rail yard resources
- ensure equipment availability
- manage space utilisation",S,S4,S4.3,S4.3.3
skills,management skills,making decisions,,Making a choice from several alternative possibilities.,"Examples:
- Decide on loan applications
- Make legal decisions
- Decide on products to be stocked",S,S4,S4.9,
skills,management skills,making decisions,making decisions,Making a choice from several alternative possibilities.,"Examples:
- Decide on loan applications
- Make legal decisions
- Decide on products to be stocked",S,S4,S4.9,S4.9.0
skills,management skills,management skills,,"Managing people, activities, resources, and organisation; developing objectives and strategies, organising work activities, allocating and controlling resources and leading, motivating, recruiting and supervising people and teams.",,S,S4,S4.0,
skills,management skills,management skills,management skills,"Managing people, activities, resources, and organisation; developing objectives and strategies, organising work activities, allocating and controlling resources and leading, motivating, recruiting and supervising people and teams.",,S,S4,S4.0,S4.0.0
skills,management skills,leading and motivating,,"Reinforcing an organization's vision, inspiring and enthusing others to achieve positive outcomes. The focus of this group is on skills in motivating and inspiring others, rather than on managing and supervising a team.","Excludes:
- Managing, leading or supervising a team or its members.

Examples:
- Motivate employees
- Provide leadership
- Lead board meetings",S,S4,S4.5,
skills,management skills,leading and motivating,leading and motivating,"Reinforcing an organization's vision, inspiring and enthusing others to achieve positive outcomes. The focus of this group is on skills in motivating and inspiring others, rather than on managing and supervising a team.","Excludes:
- Managing, leading or supervising a team or its members.

Examples:
- Motivate employees
- Provide leadership
- Lead board meetings",S,S4,S4.5,S4.5.0
skills,management skills,performing administrative activities,,"Performing administrative tasks such as typing up reports, ordering supplies, maintaining mail correspondence,  and ensuring administrative systems, processes and databases are efficient.","Excludes:
- Record and process information",S,S4,S4.4,
skills,management skills,performing administrative activities,performing general clerical and administrative tasks,"Performing general clerical and administrative tasks such as collecting mail and organising documents, not involving administration of human resources, execution of financial transactions, or processing and transforming information or data.","Examples:
- perform clerical duties",S,S4,S4.4,S4.4.3
skills,management skills,performing administrative activities,administering human resources,Performing administrative and clerical tasks concerned with human resource administration.,"Examples:
- Manage payroll",S,S4,S4.4,S4.4.1
skills,management skills,performing administrative activities,performing administrative activities,"Performing administrative tasks such as typing up reports, ordering supplies, maintaining mail correspondence,  and ensuring administrative systems, processes and databases are efficient.","Excludes:
- Record and process information",S,S4,S4.4,S4.4.0
skills,management skills,performing administrative activities,executing financial transactions,Executing financial or commercial transactions such as issuing invoices for sales or issuing purchase orders.,"Examples:
- issue sales invoices
- operate cash register
- issue purchase order",S,S4,S4.4,S4.4.2
skills,working with machinery and specialised equipment,,,"Controlling, operating and monitoring vehicles, stationary and mobile machinery and precision instrumentation and equipment.","Excludes:
- Interacting with computers",S,S8,,
skills,working with machinery and specialised equipment,"installing, maintaining and repairing mechanical equipment",,"Installing, maintaining and repairing stationary and mobile mechanical equipment, components and devices.","Excludes:
- Installing, maintaining and repairing mechatronic or robotic equipment and components",S,S8,S8.7,
skills,working with machinery and specialised equipment,"installing, maintaining and repairing mechanical equipment","installing, maintaining and repairing mechanical equipment","Installing, maintaining and repairing stationary and mobile mechanical equipment, components and devices. Resolving issues in machinery equipment","Excludes:
- Installing, maintaining and repairing mechatronic or robotic equipment and components",S,S8,S8.7,S8.7.0
skills,working with machinery and specialised equipment,"installing, maintaining and repairing mechanical equipment",repairing and installing mechanical equipment,"Repairing, dismantling, reassembling and installing stationary and mobile mechanical equipment, components and devices.","Examples:
- Repair engines
- Repair vessel mechanical systems
- Install mining machinery",S,S8,S8.7,S8.7.1
skills,working with machinery and specialised equipment,"installing, maintaining and repairing mechanical equipment",maintaining mechanical equipment and tools,"Performing maintenance of mechanical equipment, tools and devices to ensure optimal functioning.","Examples:
- Maintain farm equipment
- Prevent pipeline deterioration
",S,S8,S8.7,S8.7.2
skills,working with machinery and specialised equipment,"installing, maintaining and repairing mechanical equipment",maintaining mechanical machinery,Performing maintenance of mechanical machinery and its functional components to ensure optimal functioning.,,S,S8,S8.7,S8.7.3
skills,working with machinery and specialised equipment,operating machinery for the extraction and processing of raw materials,,Operating and monitoring various types of mechanically-controlled or computer-controlled stationary machinery for the extraction or processing of raw materials.,"Excludes:
- Operating centralized process control equipment",S,S8,S8.4,
skills,working with machinery and specialised equipment,operating machinery for the extraction and processing of raw materials,operating wood processing and papermaking machinery,"Operating machinery for processing wood and timber, and for production of wood pulp and paper.","Examples:
- Operate wood chipper
- Operate pulper
- Make paper slurry",S,S8,S8.4,S8.4.6
skills,working with machinery and specialised equipment,operating machinery for the extraction and processing of raw materials,operating metal processing and finishing machinery,Operating and tending machinery for the processing and fabrication and finishing of metals and metal stock.,"Excludes:
- Operating furnaces and smelters

Examples:
- Tend anodising machine
- Tend hot rolling mill
- Tend thread rolling machine",S,S8,S8.4,S8.4.2
skills,working with machinery and specialised equipment,operating machinery for the extraction and processing of raw materials,operating machinery for the extraction and processing of raw materials,Operating and monitoring various types of mechanically-controlled or computer-controlled stationary machinery for the extraction or processing of raw materials.,"Excludes:
- Operating centralized process control equipment",S,S8,S8.4,S8.4.0
skills,working with machinery and specialised equipment,operating machinery for the extraction and processing of raw materials,operating pumping systems or equipment,Operating machinery and equipment for pumping liquids.,"Examples:
- Operate hydraulic pumps
- Operate latex transfer pump",S,S8,S8.4,S8.4.3
skills,working with machinery and specialised equipment,operating machinery for the extraction and processing of raw materials,operating energy production or distribution equipment,"Operating turbines, generators, boilers or power plants to generate rotary motion, electricity and heat. Operating energy transmission systems.","Examples:
- Operate gas turbines
- Operate ship propulsion system",S,S8,S8.4,S8.4.4
skills,working with machinery and specialised equipment,operating machinery for the extraction and processing of raw materials,"operating mining, drilling and mineral processing machinery","Operating machinery for the extraction and processing of rocks and minerals, or for drilling and boring wells and tunnels.","Excludes:
- Operating mobile earthmoving and transportation equipment
- Operating hand-held and bench drills

Examples:
- Drive tunnel boring machine
- Operate continuous miner
- Operate core drilling equipment
- Tend stone splitting machine",S,S8,S8.4,S8.4.1
skills,working with machinery and specialised equipment,operating machinery for the extraction and processing of raw materials,"operating kilns, furnaces and drying equipment","Operating, monitoring and adjusting the controls of equipment for heating or drying materials and products at high temperatures, such as kilns or furnaces.","Excludes:
- Operation of ovens for cooking food and machines for drying textiles and garments

Examples:
- Control gas-fired furnace for malt roasting
- Operate smelter
- Operate waste incinerator
- Prepare kiln firebox",S,S8,S8.4,S8.4.7
skills,working with machinery and specialised equipment,operating machinery for the extraction and processing of raw materials,"operating petroleum, chemical or water processing systems or equipment","Operating machinery for producing, refining or purifying petroleum, chemicals, gases or water.","Examples:
- Operate distillation equipment
- Operate biogas plant
- Operate hatchery recirculation system",S,S8,S8.4,S8.4.5
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,,Operating and monitoring various types of mechanically-controlled or computer-controlled stationary machinery for the manufacture of goods.,,S,S8,S8.5,
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,operating machinery for the manufacture of products,Operating and monitoring various types of mechanically-controlled or computer-controlled stationary machinery for the manufacture of goods.,,S,S8,S8.5,S8.5.0
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,"operating metal, plastic or rubber forming equipment","Operating and tending machinery to mould, press, or form metal, plastic, rubber or other materials into a particular shape.","Excludes:
- Operating metal extrusion machines

Examples:
- Tend injection moulding machine
- Tend mouldmaking machines",S,S8,S8.5,S8.5.7
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,operating painting or coating machinery,Operating machinery to apply paints or coatings to the surface of products or materials.,"Excludes:
- Operating handheld tools such as handheld spray guns

Examples:
- Galvanise metal workpiece
- Tend coating machine
- Tend dip tank",S,S8,S8.5,S8.5.1
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,operating packaging machinery,"Operating, tending and monitoring machinery for packaging or bottling products.","Examples:
- Tend bottle cork machine
- Tend meat packaging machine",S,S8,S8.5,S8.5.2
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,operating mixing and separating machinery,"Operating machinery for mixing, blending and separating liquid or solid materials.","Excludes:
- Operating handheld tools such as kitchen blenders.

Examples:
- Tend centrifuge machines
- Operate rubber mixing machine
- Tend tumbling barrels",S,S8,S8.5,S8.5.5
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,"operating machinery for the manufacture and treatment of textiles, fur and leather products","Operating and tending machinery for the manufacture and treatment of textiles, fur and leather products.","Examples:
- Apply pre-stitching techniques
- Manufacture woven fabrics
- Tend knitting machine",S,S8,S8.5,S8.5.3
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,"operating cutting, grinding and smoothing machinery","Operating and tending machinery to cut grind and smooth work pieces made of metal, wood, plastic or various other materials.","Examples:
- Operate drill press
- Tend lathe
- Operate table saw",S,S8,S8.5,S8.5.8
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,operating food processing machinery,Operating and tending machinery for the processing of food and other organic materials and for the manufacture of food and related products.,"Excludes:
- Operating handheld tools and bench top kitchen appliances

Examples:
- Operate fish processing equipment
- Tend bakery ovens
- Tend blanching machines",S,S8,S8.5,S8.5.4
skills,working with machinery and specialised equipment,operating machinery for the manufacture of products,operating print and photographic production equipment,Operating and tending machinery for printing and photographic reproduction.,"Examples:
- Operate flexographic printing machine
- Adjust rotogravure press
- Operate collating machine",S,S8,S8.5,S8.5.6
skills,working with machinery and specialised equipment,using precision instrumentation and equipment,,"Controlling, monitoring, and adjusting precision instrumentation and equipment for a wide range of purposes.","Excludes:
- Installing and setting up precision equipment",S,S8,S8.6,
skills,working with machinery and specialised equipment,using precision instrumentation and equipment,operating communications equipment,"Controlling, monitoring, and adjusting telecommunication, navigation, radio transmission or broadcasting equipment.","Excludes:
- Installing and setting up precision equipment

Examples:
- Operate broadcast equipment
- Operate radar equipment
- Operate maritime communication equipment",S,S8,S8.6,S8.6.4
skills,working with machinery and specialised equipment,using precision instrumentation and equipment,using precision instrumentation and equipment,"Controlling, monitoring, and adjusting precision instrumentation and equipment for a wide range of purposes.","Excludes:
- Installing and setting up precision equipment",S,S8,S8.6,S8.6.0
skills,working with machinery and specialised equipment,using precision instrumentation and equipment,operating scientific and laboratory equipment,"Controlling, monitoring, and adjusting precision instrumentation and equipment for the conduct of scientific experiments and diagnostic tests.","Excludes:
- Installing and setting up precision equipment

Examples:
- Operate microscope
- Use chemical analysis equipment
- Operate meteorological instruments",S,S8,S8.6,S8.6.3
skills,working with machinery and specialised equipment,using precision instrumentation and equipment,operating medical equipment,"Controlling, monitoring, and adjusting precision instrumentation and equipment used for diagnosing and treatment of medical conditions.","Excludes:
- Installing and setting up precision equipment
- Operating equipment used in laboratory tests, including pathology

Examples:
- Operate medical imaging equipment
- Operate heart-lung machines",S,S8,S8.6,S8.6.1
skills,working with machinery and specialised equipment,using precision instrumentation and equipment,operating audio-visual equipment,"Controlling, monitoring, and adjusting precision instrumentation and equipment for recording of sound, video and images, and for use in live performances or exhibitions.","Excludes:
- Installing and setting up precision equipment

Examples:
- Operate an audio mixing console
- Operate a camera
- Operate lighting equipment",S,S8,S8.6,S8.6.2
skills,working with machinery and specialised equipment,using precision instrumentation and equipment,operating precision industrial equipment,"Controlling, monitoring, and adjusting precision instrumentation and equipment for industrial production.","Excludes:
- Installing and setting up precision equipment

Examples:
- Calibrate mechatronic instruments
- Operate optical assembly equipment",S,S8,S8.6,S8.6.5
skills,working with machinery and specialised equipment,using precision instrumentation and equipment,using precision measuring equipment,"Using, reading and monitoring instruments and equipment for precise measurement.","Excludes:
- Installing and setting up precision equipment

Examples:
- Read electricity meter
- Operate surveying instruments
- Use lensometer",S,S8,S8.6,S8.6.6
skills,working with machinery and specialised equipment,driving vehicles,,"Driving vehicles on or off road, such as motorcycles, cars, vans, trucks and buses, for the transportation of goods or people by road.","Includes driving vehicles on and off road capabilities whose purpose is the transportation of goods or people

Examples:
- Drive at high speed",S,S8,S8.2,
skills,working with machinery and specialised equipment,driving vehicles,operating rail vehicles,Controlling the movement of rail vehicles such as trains and trams.,"Excludes:
- Operating cable propelled vehicles such as funiculars

Examples:
- Drive trams
- Operate railway vehicles
- Shunt rolling stock in marshalling yards",S,S8,S8.2,S8.2.3
skills,working with machinery and specialised equipment,driving vehicles,driving heavy vehicles,"Driving heavy vehicles, such as heavy trucks and buses, for the transportation of goods or people by road.","Heavy vehicles are those with a total weight above 3,500 kg. (vehicle + load)

Examples:
- Drive ambulance under emergency conditions
- Manoeuvre bus
- Operate dump truck
- Drive funicular",S,S8,S8.2,S8.2.1
skills,working with machinery and specialised equipment,driving vehicles,driving light vehicles,"Controlling the movement of light vehicles such as motorcycles cars, taxis, vans and light trucks.","Light vehicles are those with a total weight not exceeding 3,500 kg. (vehicle + load)

Examples:
- Drive two-wheeled vehicles
- Drive automatic car",S,S8,S8.2,S8.2.2
skills,working with machinery and specialised equipment,driving vehicles,driving vehicles,"Driving vehicles on or off road, such as motorcycles, cars, vans, trucks and buses, for the transportation of goods or people by road.","Includes driving vehicles on and off road capabilities whose purpose is the transportation of goods or people

Examples:
- Drive at high speed",S,S8,S8.2,S8.2.0
skills,working with machinery and specialised equipment,"installing, maintaining and repairing electrical, electronic and precision equipment",,"Installing, setting-up, maintaining and repairing electrical and electronic equipment, and control systems, scientific devices, instrumentation and precision equipment.","Excludes:
- Installing computer software, and configuring computer networks",S,S8,S8.8,
skills,working with machinery and specialised equipment,"installing, maintaining and repairing electrical, electronic and precision equipment","installing, maintaining and repairing electrical, electronic and precision equipment","Installing, setting-up, maintaining and repairing electrical and electronic equipment, and control systems, scientific devices, instrumentation and precision equipment.","Excludes:
- Installing computer software, and configuring computer networks",S,S8,S8.8,S8.8.0
skills,working with machinery and specialised equipment,"installing, maintaining and repairing electrical, electronic and precision equipment","installing and repairing electrical, electronic and precision equipment","Installing, setting-up, and repairing electrical, electronic, mechatronic and precision equipment, and control systems, scientific and medical devices, instrumentation and precision equipment.","Excludes:
- Installing computer software, and configuring computer networks
- Setting up audio-visual equipment

Examples:
- Configure electronic equipment
- Install electric switches
- Install low voltage wiring
- Repair household appliances
- Repair vehicle electrical systems",S,S8,S8.8,S8.8.1
skills,working with machinery and specialised equipment,"installing, maintaining and repairing electrical, electronic and precision equipment","maintaining electrical, electronic and precision equipment","Maintaining electrical and electronic and mechatronic equipment, control systems, scientific and medical devices, instrumentation and precision equipment to ensure continued or optimal functioning.","Examples:
- Adjust voltage
- Maintain automated lighting equipment
- Maintain medical devices",S,S8,S8.8,S8.8.2
skills,working with machinery and specialised equipment,operating watercraft,,"Operating and controlling the movement of watercraft and underwater vessels, including ships, boats and other types of vessel.","Examples:
- Operate mechanical equipment of ships
- Operate small craft
- Use fishing vessel equipment
- Navigate European inland waterways
- Steer vessels",S,S8,S8.3,
skills,working with machinery and specialised equipment,operating watercraft,operating watercraft,"Operating and controlling the movement of watercraft and underwater vessels, including ships, boats and other types of vessel.","Examples:
- Operate mechanical equipment of ships
- Operate small craft
- Use fishing vessel equipment
- Navigate European inland waterways
- Steer vessels",S,S8,S8.3,S8.3.0
skills,working with machinery and specialised equipment,working with machinery and specialised equipment,,"Controlling, operating and monitoring vehicles, stationary and mobile machinery and precision instrumentation and equipment.","Excludes:
- Interacting with computers",S,S8,S8.0,
skills,working with machinery and specialised equipment,working with machinery and specialised equipment,working with machinery and specialised equipment,"Controlling, operating and monitoring vehicles, stationary and mobile machinery and precision instrumentation and equipment.","Excludes:
- Interacting with computers",S,S8,S8.0,S8.0.0
skills,working with machinery and specialised equipment,operating aircraft,,"Controlling the movement of aircraft, including fixed wing aircraft, helicopters and drones.","Examples:
- Perform take-off and landing
- Drive helicopter under emergency conditions
- Operate cockpit control panels",S,S8,S8.9,
skills,working with machinery and specialised equipment,operating aircraft,operating aircraft,"Controlling the movement of aircraft, including fixed wing aircraft, helicopters and drones.","Examples:
- Perform take-off and landing
- Drive helicopter under emergency conditions
- Operate cockpit control panels",S,S8,S8.9,S8.9.0
skills,working with machinery and specialised equipment,operating mobile plant,,"Controlling the operation of machinery whose mobility is an integral part of its function, such as earthmoving, agricultural, forestry and lifting equipment.",,S,S8,S8.1,
skills,working with machinery and specialised equipment,operating mobile plant,operating earthmoving equipment,"Operating equipment for moving, excavating, smoothing or shaping earth","Excludes:
- Operating mining, drilling, tunnelling and boring machinery

Examples:
- Drive steel piles
- Operate bulldozer
- Operate front loader
- Operate grader",S,S8,S8.1,S8.1.1
