Level 0 preferred term,Level 1 preferred term,Level 2 preferred term,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
transversal skills and competences,social and communication skills and competences,collaborating in teams and networks,,Support or develop a group to work towards a common goal in a way which shows understanding and respect of others’ roles and competencies.,,T,T4,T4.3,
transversal skills and competences,social and communication skills and competences,communicating,,"Express and exchange information, ideas, concepts, thoughts, and feelings, and resolve disagreements in formal and informal contexts, through the use of shared systems of words, signs, and rules.",,T,T4,T4.1,
transversal skills and competences,social and communication skills and competences,supporting others,,"Guide or help less experienced or less knowledgeable people, and provide support to distressed people.",,T,T4,T4.2,
transversal skills and competences,social and communication skills and competences,following ethical code of conduct,,"Carry out workplace activities according to accepted principles of right and wrong, including fairness, transparency and impartiality in work practices and conduct towards other people.",,T,T4,T4.5,
transversal skills and competences,social and communication skills and competences,leading others,,"Guide, direct and motivate others.",,T,T4,T4.4,
transversal skills and competences,thinking skills and competences,,,"Skills and competences relating to the ability to apply the mental processes of gathering, conceptualizing, analysing, synthesizing, and/or evaluating information gathered from, or generated by, observation, experience, reflection, reasoning, or communication. They include the ability to evaluate and use information of different kinds to plan activities, achieve goals, solve problems, deal with issues and perform complex tasks in routine and novel ways.",,T,T2,,
transversal skills and competences,thinking skills and competences,dealing with problems,,"Develop and implement solutions to practical, operational or conceptual problems which arise in the execution of work, in a wide range of contexts.",,T,T2,T2.3,
transversal skills and competences,thinking skills and competences,planning and organising,,"Direct activities and tasks, establish schedules and coordinate the activities of groups and individuals to complete objectives on time and within budget.  ",,T,T2,T2.2,
transversal skills and competences,thinking skills and competences,thinking creatively and innovatively,,"Generate new ideas or combine existing ones to develop innovative, novel solutions.",,T,T2,T2.4,
transversal skills and competences,thinking skills and competences,"processing information, ideas and concepts",,"Evaluate, input, record, transcribe and update data using electronic or manual information systems. ",,T,T2,T2.1,
transversal skills and competences,core skills and competences,,,"Skills and competences representing the foundation for interacting with others and for developing and learning as an individual. They comprise the ability to understand, speak, read and write language(s), to work with numbers and measures and to use digital devices and applications.",,T,T1,,
transversal skills and competences,core skills and competences,working with digital devices and applications,,"Carry out simple digital tasks like operating already configured hardware, finding information via web searches, using standard software for communicating or collaborating with others or for creating and editing simple content and choosing between standard measures for protecting devices, personal data and privacy in digital environments.","The cluster is restricted to foundational digital skills increasingly becoming more important in learning, work and private life. It is building on the DigCOMP 2.1 framework, notably proficiency levels 1 and 2 . DigComp 2.1 skills of proficiency level 3 and above are not considered transversal. Skills referring to information and data literacy or media literacy are listed under 2.1.1 Critically evaluate information and its sources. ",T,T1,T1.3,
transversal skills and competences,core skills and competences,mastering languages,,"Communicate through reading, writing, speaking and listening in the mother tongue and/or in a foreign language.",,T,T1,T1.1,
transversal skills and competences,core skills and competences,working with numbers and measures,,"Apply numerical and mathematical content, information, ideas and processes to meet basic demands of learning and work. This includes an understanding of numbers, patterns, shape and space, the mathematical language, symbols and procedures, and ways of thinking used to achieve concrete goals.",,T,T1,T1.2,
skills,,,,,,S,,,
skills,handling and moving,,,"Sorting, arranging, moving, transforming, fabricating and cleaning goods and materials by hand or using handheld tools and equipment. Tending plants, crops and animals.","Excludes:
- Specific skills involving interaction with people",S,S6,,
skills,handling and moving,handling and disposing of waste and hazardous materials,,"Collecting, storing and disposing of unwanted materials or hazardous, according to established waste management procedures.",,S,S6,S6.13,
skills,handling and moving,handling and disposing of waste and hazardous materials,disposing of non-hazardous waste or debris,Collecting and disposing of unwanted non-hazardous materials according to established waste management procedures.,"Examples:
- Handle fish harvesting waste 
- Collect domestic waste",S,S6,S6.13,S6.13.2
skills,handling and moving,handling and disposing of waste and hazardous materials,handling and disposing of hazardous materials,"Handling, collecting, storing and disposing of materials that pose substantial threats to public or personal health or the environment.","Hazardous waste is defined in accordance with the latest EU guidance on the classification of waste: https://europa.eu/!kr89QF

Examples:
- Dispose of medical waste 
- Handle chemical cleaning agents",S,S6,S6.13,S6.13.1
skills,handling and moving,handling and disposing of waste and hazardous materials,handling and disposing of waste and hazardous materials,"Collecting, storing and disposing of unwanted materials or hazardous, according to established waste management procedures.",,S,S6,S6.13,S6.13.0
skills,handling and moving,moving and lifting,,"Performing physical activities to move, load, unload or store objects, position workpieces or equipment for assembly, or to climb structures, by hand or with the aid of equipment.","Excludes:
- Specific skills involving lifting and moving people and animals
- Operation of machinery other than hand-held equipment",S,S6,S6.2,
skills,handling and moving,moving and lifting,"positioning materials, tools or equipment","Placing workpieces, materials, tools or equipment in the correct position for assembly or further work.",,S,S6,S6.2,S6.2.4
skills,handling and moving,moving and lifting,moving and lifting,"Performing physical activities to move, load, unload or store objects or to climb structures, by hand or with the aid of equipment.","Excludes:
- Specific skills involving lifting and moving people and animals
- Operation of machinery other than hand-held equipment",S,S6,S6.2,S6.2.0
skills,handling and moving,moving and lifting,"loading and unloading goods and, materials","Loading, securing or unloading products, materials, or equipment for transportation, storage or further processing by hand or using hand-held or manually operated equipment.","Excludes:
- Operation of machinery other than hand-held equipment

Examples:
- Stow cargo
- Secure cargo on ships
- Unload supplies",S,S6,S6.2,S6.2.1
skills,handling and moving,moving and lifting,"moving or lifting materials, equipment, or supplies","Moving or lifting goods, materials supplies or resources, by hand or with the aid of equipment, using actions such as lifting, pushing, carrying or shovelling.","Excludes:
- Operation of machinery other than hand-held equipment

Examples:
- Feed concrete mixer
- Transfer luggage
- Lift heavy weights",S,S6,S6.2,S6.2.2
skills,handling and moving,moving and lifting,storing goods and materials,"Placing goods and materials in storage by hand, or with the aid of hand-held or manually operated equipment.","Excludes:
- Operation of machinery other than hand-held equipment 
- Storing hazardous material

Examples:
- Stock shelves
- Store film reels",S,S6,S6.2,S6.2.3
skills,handling and moving,"making moulds, casts, models and patterns",,"Making moulds, casts and two-dimensional patterns or templates and making three-dimensional models of products.","Excludes:
- Operation of automated assembly equipment or machines
- Repair of building structures and mechanical, electrical, electronic products and components",S,S6,S6.6,
skills,handling and moving,"making moulds, casts, models and patterns",making patterns and templates,"Creating two dimensional patterns or templates for purposes such as cutting and fabricating articles in different shapes and sizes, or placement of items.","Examples:
- Create floor plan template
- Create patterns for garments",S,S6,S6.6,S6.6.2
skills,handling and moving,"making moulds, casts, models and patterns",making production moulds and casts,"Constructing moulds for the manufacture of objects in various materials, and making casts by filling moulds with liquid materials for solidification.","Excludes:
- Operation of automated assembly equipment or machines
- Pouring of concrete for construction of buildings

Examples:
- Modify casts for prostheses
- Mould chocolate
- Cast jewellery metal 
- Prevent casting adhesion",S,S6,S6.6,S6.6.1
skills,handling and moving,"making moulds, casts, models and patterns","making moulds, casts, models and patterns","Making moulds, casts and two-dimensional patterns or templates and making three-dimensional models of products.","Excludes:
- Operation of automated assembly equipment or machines
- Repair of building structures and mechanical, electrical, electronic products and components",S,S6,S6.6,S6.6.0
skills,handling and moving,"making moulds, casts, models and patterns",making models,Constructing physical three-dimensional models of products.,"Excludes:
- Creation of virtual or conceptual models

Examples:
- Create set models
- Build jewellery models
- Make architectural mock-ups",S,S6,S6.6,S6.6.3
skills,handling and moving,"positioning materials, tools or equipment",,"Placing workpieces, materials, tools or equipment in the correct position for assembly or further work.",,S,S6,S6.8,
skills,handling and moving,"positioning materials, tools or equipment","positioning materials, tools or equipment","Placing workpieces, materials, tools or equipment in the correct position for assembly or further work.",,S,S6,S6.8,S6.8.0
skills,handling and moving,"positioning materials, tools or equipment",positioning tools or equipment,Placing tools or equipment in the correct position for use.,"Examples:
- Position engraving equipment
- Position cross slide of a lathe",S,S6,S6.8,S6.8.1
skills,handling and moving,"positioning materials, tools or equipment",positioning workpieces or materials,"Positioning workpieces, components or materials on equipment or in position for assembly.","Examples:
- Align components
- Position base plates
- Position outriggers",S,S6,S6.8,S6.8.2
skills,handling and moving,tending plants and crops,,"Propagating, cultivating, pruning, caring for and harvesting plants and crops.",,S,S6,S6.4,
skills,handling and moving,tending plants and crops,tending plants and crops,"Propagating, cultivating, pruning, caring for and harvesting plants and crops.",,S,S6,S6.4,S6.4.0
skills,handling and moving,tending plants and crops,"planting, pruning and harvesting trees, crops and other plants","Propagating and planting trees, flowers and other plants for production of food crops and other products, enhancing the environment or for scientific research. ","Examples:
- Seed the ground
- Propagate plants 
- Plant trees",S,S6,S6.4,S6.4.2
skills,handling and moving,tending plants and crops,cultivating land and crops,Preparing and maintaining land for agricultural or horticultural use and promoting the growth of plants.,"Examples:
- Prepare planting area
- Irrigate soil
- Spread fertiliser
- Maintain plants' growth",S,S6,S6.4,S6.4.1
skills,handling and moving,transforming and blending materials,,"Transforming materials from one form to another by mixing, blending, heating or chemical reaction, by hand or using handheld tools and equipment.",,S,S6,S6.3,
skills,handling and moving,transforming and blending materials,preparing industrial materials for processing or use,"Preparing various types of materials for further processing or for use, by employing techniques such as heating, skimming to remove impurities or immersing objects in cleaning or coating solutions.","Examples:
- Heat jewellery metals
- Heat lacquer mixture
- Prepare surface for coating",S,S6,S6.3,S6.3.3
skills,handling and moving,transforming and blending materials,preparing mixtures or solutions,"Mixing and blending various types of solid or liquid materials, by hand or using handheld tools and equipment.","Examples:
- Mix paint
- Mix construction grouts
- Blend food ingredients",S,S6,S6.3,S6.3.1
skills,handling and moving,transforming and blending materials,transforming and blending materials,"Transforming materials from one form to another by mixing, blending, heating or chemical reaction, by hand or using handheld tools and equipment.",,S,S6,S6.3,S6.3.0
skills,handling and moving,transforming and blending materials,collecting and preparing specimens or materials for testing,"Taking, preparing or preserving as required samples or specimens of products, liquids chemicals or organic materials in order for them to be ready for testing and analysis.","Examples:
- Prepare chemical samples
- Collect samples for analysis",S,S6,S6.3,S6.3.6
skills,handling and moving,washing and maintaining textiles and clothing,,"Washing or cleaning clothing and other textile products by hand or using a washing or laundry machine, maintaining textile items in good order.","Excludes:
- Repairing or adjusting clothes

Examples:
- Iron textiles 
- Eliminate stains 
- Clean household linens",S,S6,S6.12,
skills,handling and moving,washing and maintaining textiles and clothing,washing and maintaining textiles and clothing,"Washing or cleaning clothing and other textile products by hand or using a washing or laundry machine, maintaining textile items in good order.","Excludes:
- Repairing or adjusting clothes

Examples:
- Iron textiles 
- Eliminate stains 
- Clean household linens",S,S6,S6.12,S6.12.0
skills,handling and moving,cleaning,,"Cleaning buildings, work areas, equipment, machinery and vehicles.","Excludes:
- Cleaning, laundering and maintaining textiles
- Cleaning live animals",S,S6,S6.11,
skills,handling and moving,cleaning,cleaning,"Cleaning buildings, work areas, equipment, machinery and vehicles.","Excludes:
- Cleaning, laundering and maintaining textiles
- Cleaning live animals",S,S6,S6.11,S6.11.0
